name,slug,ceo_name,ceo_linkedin,company_linkedin,eng,remote,job_website,description,stage,tags,industries,all_locations,team_size,batch,funding
Chaser,chaser,Albert Ho,https://www.linkedin.com/in/hoalbert,\N,false,false,https://www.ycombinator.com/companies/chaser/jobs (could not find a dedicated career website),No code app builder. ,Early,"{saas,finance,e-commerce}",{b2b},"San Francisco, CA, USA; Remote",2,Winter 2019,\N
Green Energy Exchange,green-energy-exchange,patrick Woodson,http://www.linkedin.com/in/ patrick-woodson-b687a072,\N,false,false,http://getgex.com/careers,We deliver affordable renewable energy direct to customers and are…,Growth,"{climate,renewable energy}","{industrials,energy}","Austin, TX, USA",3,Winter 2019,5000000
DevFlight,devflight,Tony Mastrorio,https://www.linkedin.com/in/tonymastrorio/,\N,false,false,https://www.ycombinator.com/companies/devflight/jobs (could not find a dedicated career website),Managed equipment data pipelines for manufacturers,Early,{data engineering},"{b2b,engineering, product and design}","Somerville, MA, USA; Remote",2,Winter 2019,\N
Comradery,comradery,Rishab Hegde,https://www.linkedin.com/in/rishab-hegde/,\N,false,false,https://www.ycombinator.com/companies/comradery/jobs (could not find a dedicated career website),White-label Bookface for companies and communities!,Early,"{saas,b2b,community}","{b2b,productivity}","San Francisco, CA, USA",1,Winter 2019,22500000
SpaceRyde,spaceryde,Sohrab Haghighat,https://www.linkedin.com/in/sohrabhaghighat/,https://www.linkedin.com/company/spaceryde/,false,false,https://www.ycombinator.com/companies/spaceryde/jobs (could not find a dedicated career website),The Rocket Network: Sustainable & On-Demand Delivery Anywhere in Space,Early,"{air taxis,commercial space launch,hardware,sustainable tourism,space exploration}","{industrials,aviation and space}","Toronto, ON, Canada",33,Winter 2019,6000000
Pengram,pengram,Will Huang,https://www.linkedin.com/in/hwjwill/,https://www.linkedin.com/company/pengramar,false,false,https://www.ycombinator.com/companies/pengram/jobs (could not find a dedicated career website),Indoor navigation through augmented reality on your phone. ,Early,"{saas,augmented reality,navigation}","{b2b,human resources}","Santa Clara, CA, USA",2,Winter 2019,1500000
Kopa,kopa,Zach Waterfield,https://linkedin.com/in/zlwaterfield,https://www.linkedin.com/company/kopahq,false,false,https://www.ycombinator.com/companies/kopa/jobs (could not find a dedicated career website),Find furnished rentals and compatible housemates for 1-12 month stays ,Early,"{marketplace,housing,community}","{real estate and construction,housing and real estate}","San Francisco, CA, USA; Remote",6,Winter 2019,\N
Vectordash,vectordash,Abhishek Bhargava,https://www.linkedin.com/in/abhishek-bhargava-398ba6126/,\N,false,false,https://www.ycombinator.com/companies/vectordash/jobs (could not find a dedicated career website),Play high-end PC games on your laptop by streaming them.,Early,{gaming},"{consumer,gaming}","San Francisco, CA, USA",3,Winter 2019,1000000
Brick Health,brick-health,Colin McDonnell,https://www.linkedin.com/in/colinmcd/,https://www.linkedin.com/company/brick-health,false,false,https://www.ycombinator.com/companies/brick-health/jobs (could not find a dedicated career website),Building infrastructure to expand scope and quality of virtual care,Early,"{consumer health services,telemedicine}","{healthcare,healthcare it}","Miami, FL, USA; Remote",1,Winter 2019,\N
Allo,allo,Catherine Hrdy,https://www.linkedin.com/in/catherinechuterhrdy/,\N,false,false,https://www.allocommunity.com//careers,Allo is an app that helps neighboring families meet and help each…,Early,{community},"{consumer,social}","San Francisco, CA, USA",2,Winter 2019,4000000000
OpenPipe,openpipe,Kyle Corbitt,https://www.linkedin.com/in/kcorbitt,\N,false,false,https://openpipe.ai//careers,Turn expensive prompts into cheap fine-tuned models,Early,"{aiops,artificial intelligence,open source}","{b2b,engineering, product and design}","Seattle, WA, USA",2,Summer 2023,6700000
Martin,martin,Dawson Chen,https://linkedin.com/in/dawson-chen-9b62a8183,https://www.linkedin.com/company/96958947,true,false,https://www.ycombinator.com/companies/martin/jobs (could not find a dedicated career website),AI Personal Assistant like Jarvis,Early,"{artificial intelligence,ai assistant}",{consumer},"San Francisco, CA, USA",2,Summer 2023,1600000
Coba,coba,Joseph Saliba,https://www.linkedin.com/in/josephsaliba/,https://www.linkedin.com/company/cobaremote,true,true,https://www.ycombinator.com/companies/coba/jobs (could not find a dedicated career website),Dual Currency Accounts For LatAm,Early,"{fintech,latin america,remittances,neobank}",{fintech},"Monterrey, N.L., Mexico; Austin, TX, USA",9,Summer 2023,\N
Taylor AI,taylor-ai,Brian Kim,https://linkedin.com/in/brian-kim-463a50142,https://www.linkedin.com/company/taylor-ai/about/,false,false,https://www.ycombinator.com/companies/taylor-ai/jobs (could not find a dedicated career website),Unified Platform for Text Enrichment,Early,"{developer tools,saas,b2b,data labeling,big data}","{b2b,engineering, product and design}","San Francisco, CA, USA",2,Summer 2023,\N
Tempo,tempo-2,Kevin Michael,https://www.linkedin.com/in/kevin1michael/,https://www.linkedin.com/company/tempo-labs/,true,true,https://www.ycombinator.com/companies/tempo-2/jobs (could not find a dedicated career website),"Visual Editor for React, powered by AI",Early,"{artificial intelligence,developer tools,b2b,design tools,ai}","{b2b,engineering, product and design}","Toronto, ON, Canada",8,Summer 2023,49900000
Curatle,curatle,Tim Jang,https://linkedin.com/in/timjang3,\N,false,false,https://www.ycombinator.com/companies/curatle/jobs (could not find a dedicated career website),AI shopping cart for everything you buy ,Early,"{consumer,e-commerce,ai}",{consumer},"Irvine, CA, USA; Remote",1,Summer 2023,\N
Flair Technologies,flair-technologies,Diva Sharma,https://linkedin.com/in/diva-sharma,\N,false,false,https://www.ycombinator.com/companies/flair-technologies/jobs (could not find a dedicated career website),Driving The Smartest Contract Negotiation for Hospitals,Early,"{health tech,b2b,data science,healthcare it,ai}","{healthcare,healthcare it}","San Francisco, CA, USA",0,Summer 2023,\N
Constructable,constructable,Emma Nazim,https://linkedin.com/in/emmamedjuck,https://www.linkedin.com/company/constructableapp,false,false,https://www.ycombinator.com/companies/constructable/jobs (could not find a dedicated career website),Building the next Procore,Early,"{artificial intelligence,saas,construction,b2b,productivity}","{real estate and construction,construction}","Santa Barbara, CA, USA",3,Summer 2023,12942000
Morph,morph,Tejas Bhakta,https://linkedin.com/in/tejas-bhakta,https://www.linkedin.com/company/morphllm,true,true,https://www.ycombinator.com/companies/morph/jobs (could not find a dedicated career website),The Fastest Way to Apply AI Edits,Early,"{artificial intelligence,generative ai,ai}",{b2b},"San Francisco, CA, USA",2,Summer 2023,\N
Nowadays,nowadays,Anna Sun,https://linkedin.com/in/annasun19,https://www.linkedin.com/company/getnowadays/about/,true,true,http://nowadays.ai//careers,AI co-pilot for corporate event planning,Early,"{artificial intelligence,b2b,logistics,marketing,ai}","{b2b,operations}","San Francisco, CA, USA",5,Summer 2023,2000000
Structured Labs,structured-labs,Amrutha Gujjar,https://www.linkedin.com/in/amruthagujjar/,https://www.linkedin.com/company/structuredlabs/,false,false,https://www.ycombinator.com/companies/structured-labs/jobs (could not find a dedicated career website),Build interactive data apps with AI,Early,"{artificial intelligence,developer tools,analytics,open source,data visualization}","{b2b,engineering, product and design}","San Francisco, CA, USA",5,Summer 2023,\N
Twine,twine,Anand Valavalkar,https://linkedin.com/in/anand-valavalkar,https://www.linkedin.com/company/twinelabs/,false,false,https://www.ycombinator.com/companies/twine/jobs (could not find a dedicated career website),AI text message receptionist for SMBs,Early,{},"{b2b,sales}","San Francisco, CA, USA",4,Summer 2023,13500000
Mocha,mocha,Nicholas Charriere,https://linkedin.com/in/nicholas-charriere,https://www.linkedin.com/company/96310770,true,false,https://getmocha.com/careers,Build and publish web apps in minutes. No coding required.,Early,"{no-code,web development,ai}","{b2b,infrastructure}","San Francisco, CA, USA",5,Summer 2023,6000000
Foundation,foundation-2,Luke Groesbeck,https://linkedin.com/in/lukegroesbeck,https://www.linkedin.com/company/foundation-tech/,false,false,https://www.ycombinator.com/companies/foundation-2/jobs (could not find a dedicated career website),Shopify for Homebuilders,Early,"{saas,real estate,b2b,proptech,ai assistant}","{real estate and construction,housing and real estate}","Boulder, CO, USA; Remote",4,Summer 2023,\N
